email,spam
"Compre 10 camisetas e pague somente 8", 6
"Bom dia, me envie os relatórios de ontem.", 0
"Qual endereço para acessar o portal da empresa?", 4
"Promoção, na compra de um refrigerador você ganha um fogão de brinde", 6
"Olá, estou te encaminhando meu currículo", 5
"Curriculo para vaga de gerente comercial", 5
"Qual será o valor dos produtos lançados na semana passada?", 0
"Computador 03 está com problema ao iniciar o módulo de cadastros", 4
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!", 6
"Se eu comprar antecipado eu ganho desconto?", 0
"O sistema está dando erro ao abrir o módulo financeiro.", 4
"Sexta-feira temos workshop sobre marketing empresarial, não se esqueçam!", 2
"Compre notebook com R$ 200,00 de desconto somente até sábado", 6
"Celulares em promação, iPhone X com 20$ de desconto", 6
"Estou encaminhando meu curriculo.", 5
"Houve alguns problema no projeto e iremos atrasar a entrega", 5
"Onde clico para aparecer o painel de permissões?", 4
"Não perca a oportunidade de adquirir seu carro ZERO", 6
"Quanto mais vc compra mais vc ganha. Sistema de pontuação que ganha pontos em dobro.", 6
"Preciso conversar urgente com o responsável pelo marketing.", 2
"Computadores atigindo temperatura elevada e desligando, solicito manutenção.", 4
"Segue anexo curriculo.", 5
"Somente nessa sexta-feira, sofá 3 lugares por R$ 200,00", 6
"Qual melhor Placa de video para jogar LOL?", 3
"Precisamos de aumentar as publicidades nas periferias da cidade?", 2
"Estou enfrentando problemas com erros nas parcelas do cartão de crédito. Valores duplicados!", 0
"Qual valor das novas caixas de som JBL?", 1
"Preciso de orçamento para 10 notebooks.", 1
"Irei comprar alguns milhares de cabo de rede. Consegue-me um desconto?", 1
"Minha memória RAM já esta com defeito, a garantia cobre?", 4
"Estou encaminhando meu curriculo.", 5
"A empresa oferece vaga para jovem aprendiz?", 5
"Preciso de sugestoes e analise de especialista para implantar novo software.", 3
