email,financeiro,vendas,marketing,analise,suporte,gerencia,spam
Compre 10 camisetas e pague somente 8,6,0,0,0,0,0,1
"Bom dia, me envie os relatórios de ontem.",0,0,0,0,0,0,0
Qual endereço para acessar o portal da empresa?,4,0,0,0,1,0,0
"Promoção, na compra de um refrigerador você ganha um fogão de brinde",6,0,0,0,0,0,1
"Olá, estou te encaminhando meu currículo",5,0,0,0,0,1,0
Curriculo para vaga de gerente comercial,5,0,0,0,0,1,0
Qual será o valor dos produtos lançados na semana passada?,0,0,0,0,0,0,0
Computador 03 está com problema ao iniciar o módulo de cadastros,4,0,0,0,1,0,0
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!",6,0,0,0,0,0,1
Se eu comprar antecipado eu ganho desconto?,0,0,0,0,0,0,0
O sistema está dando erro ao abrir o módulo financeiro.,4,0,0,0,1,0,0
O José pediu demissão. Posso pedir o exame demissional?,5,0,0,0,0,1,0
"Sexta-feira temos workshop sobre marketing empresarial, não se esqueçam!",2,0,1,0,0,0,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",6,0,0,0,0,0,1
"Celulares em promação, iPhone X com 20$ de desconto",6,0,0,0,0,0,1
Estou encaminhando meu curriculo.,5,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,5,0,0,0,0,1,0
Onde clico para aparecer o painel de permissões?,4,0,0,0,1,0,0
Não perca a oportunidade de adquirir seu carro ZERO,6,0,0,0,0,0,1
Quanto mais vc compra mais vc ganha. Sistema de pontuação que ganha pontos em dobro.,6,0,0,0,0,0,1
Preciso conversar urgente com o responsável pelo marketing.,2,0,1,0,0,0,0
"Computadores atigindo temperatura elevada e desligando, solicito manutenção.",4,0,0,0,1,0,0
Segue anexo curriculo.,5,0,0,0,0,1,0
"Somente nessa sexta-feira, sofá 3 lugares por R$ 200,00",6,0,0,0,0,0,1
Qual melhor Placa de video para jogar LOL?,3,0,0,1,0,0,0
Precisamos de aumentar as publicidades nas periferias da cidade?,2,0,1,0,0,0,0
Estou enfrentando problemas com erros nas parcelas do cartão de crédito. Valores duplicados!,0,0,0,0,0,0,0
Qual valor das novas caixas de som JBL?,1,1,0,0,0,0,0
Preciso de orçamento para 10 notebooks.,1,1,0,0,0,0,0
Irei comprar alguns milhares de cabo de rede. Consegue-me um desconto?,1,1,0,0,0,0,0
"Minha memória RAM já esta com defeito, a garantia cobre?",4,0,0,0,1,0,0
Estou encaminhando meu curriculo.,5,0,0,0,0,1,0
A empresa oferece vaga para jovem aprendiz?,5,0,0,0,0,1,0
Preciso de sugestoes e analise de especialista para implantar novo software.,3,0,0,1,0,0,0
Qual melhor computador para uso acadêmico?,3,0,0,1,0,0,0
Preciso que me libere acesso ao sistema financeiro,4,0,0,0,1,0,0
"Sobre a demissão do funcionário do caixa, preciso dos detalhes",5,0,0,0,0,1,0
Minha CPU não liga. Pode me ajudar com esse problema?,4,0,0,0,1,0,0
Qual melhor dia para efetuar uma compra no cartão da loja?,0,0,0,0,0,0,0
"Quanto está custando um kit com placa mãe, hd, fonte e memória RAM?",1,1,0,0,0,0,0
Qual valor das novas caixas de som JBL?,1,1,0,0,0,0,0
Preciso de orçamento para 10 notebooks.,1,1,0,0,0,0,0
Irei comprar alguns milhares de cabo de rede. Consegue-me um desconto?,1,1,0,0,0,0,0
"Minha memória RAM já esta com defeito, a garantia cobre?",4,0,0,0,1,0,0
"Bom dia, me envie os relatórios de ontem.",0,0,0,0,0,0,0
Qual endereço para acessar o portal da empresa?,4,0,0,0,1,0,0
"Promoção, na compra de um refrigerador você ganha um fogão de brinde",6,0,0,0,0,0,1
"Olá, estou te encaminhando meu currículo",5,0,0,0,0,1,0
Curriculo para vaga de gerente comercial,5,0,0,0,0,1,0
Qual será o valor dos produtos lançados na semana passada?,0,0,0,0,0,0,0
Computador 03 está com problema ao iniciar o módulo de cadastros,4,0,0,0,1,0,0
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!",6,0,0,0,0,0,1
Se eu comprar antecipado eu ganho desconto?,0,0,0,0,0,0,0
O sistema está dando erro ao abrir o módulo financeiro.,4,0,0,0,1,0,0
O José pediu demissão. Posso pedir o exame demissional?,5,0,0,0,0,1,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",6,0,0,0,0,0,1
"Celulares em promação, iPhone X com 20$ de desconto",6,0,0,0,0,0,1
Estou encaminhando meu curriculo.,5,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,5,0,0,0,0,1,0
"Se eu comprar cinco anos antecipados, eu ganho algum desconto?",1,1,0,0,0,0,0
O exercício 15 do curso de Java 1 está com a resposta errada. Pode conferir pf?,3,0,0,1,0,0,0
Existe algum curso para cuidar do marketing da minha empresa?,3,0,0,1,0,0,0
"Gostaria de renovar antecipadamente meu plano, como posso fazer?",0,0,0,0,0,0,0
O vídeo não está travando as vezes no meu navegador. Como trocar o player?,4,0,0,0,1,0,0
Que trilha vocês recomendam para quem quer começar com programação?,3,0,0,1,0,0,0
Quanto custa o plano premium?,1,1,0,0,0,0,0
Como faço para postar minha dúvida no fórum?,4,0,0,0,1,0,0
"Já trabalho como designer e queria aprender mais de UX, que cursos devo fazer?",3,0,0,1,0,0,0
"Coloquei meu nome com letra maiúscula no certificado, gostaria de mudar, como posso fazer isso?",5,0,0,0,0,1,0
Onde posso acessar meu certificado?,4,0,0,0,1,0,0
Que cursos devo fazer para crescer na minha carreira de programação?,3,0,0,1,0,0,0
Se meu acesso expirar ainda tenho acesso aos meus certificados?,3,0,0,1,0,0,0
Achei um erro no vídeo de Excel. A fórmula usada foi sum com uma coluna a mais no segundo vídeo do curso aos 3 minutos.,3,0,0,1,0,0,0
Que cursos vocês indicam para meu filho de 14 anos?,3,0,0,1,0,0,0
Posso imprimir meu certificado?,4,0,0,0,1,0,0
"Bom dia, tenho interesse na parte de IOS, porem tenho a duvida sobre as vídeo aulas, devem existir exercícios, para realizar esse curso seria necessário possuir um computador mac?, ou existe algum ambiente de virtualização para que possar ser realizados esses exercícios e praticas do conteúdo?",4,0,0,0,1,0,0
Qual a carreira indicada para meu filho?,3,0,0,1,0,0,0
Gostaria de saber se vocês emitem certificado valido para todo  Brasil??? Desde já agradeço!,4,0,0,0,1,0,0
qual versão do laravel no curso,4,0,0,0,1,0,0
"Olá, quero aprender a programar, mas não sei por onde começar, e gostaria de uma ajuda para escolher o curso! Obs: só posso fazer a distancia.",3,0,0,1,0,0,0
