email,financeiro,vendas,marketing,analise,suporte,gerencia,spam
"Bom dia, me envie os relatórios de ontem.",1,0,0,0,0,0,0
Qual endereço para acessar o portal da empresa?,0,0,0,0,1,0,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",0,0,0,0,0,0,1
Compre 10 camisetas e pague somente 8,0,0,0,0,0,0,1
Qual será o valor dos produtos lançados na semana passada?,1,0,0,0,0,0,0
Computador 03 está com problema ao iniciar o módulo de cadastros,0,0,0,0,1,0,0
"Celulares em promação, iPhone X com 20$ de desconto",0,0,0,0,0,0,1
Estou encaminhando meu curriculo.,0,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,0,0,0,0,0,1,0
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!",0,0,0,0,0,0,1
Se eu comprar antecipado eu ganho desconto?,1,0,0,0,0,0,0
"Bom dia, me envie os relatórios de ontem.",1,0,0,0,0,0,0
Qual endereço para acessar o portal da empresa?,0,0,0,0,1,0,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",0,0,0,0,0,0,1
"Celulares em promação, iPhone X com 20$ de desconto",0,0,0,0,0,0,1
Estou encaminhando meu curriculo.,0,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,0,0,0,0,0,1,0
"Promoção, na compra de um refrigerador você ganha um fogão de brinde",0,0,0,0,0,0,1
"Olá, estou te encaminhando meu currículo",0,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,0,0,0,0,0,1,0
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!",0,0,0,0,0,0,1
Se eu comprar antecipado eu ganho desconto?,1,0,0,0,0,0,0
"Bom dia, me envie os relatórios de ontem.",1,0,0,0,0,0,0
Curriculo para vaga de gerente comercial,0,0,0,0,0,1,0
Qual será o valor dos produtos lançados na semana passada?,1,0,0,0,0,0,0
Computador 03 está com problema ao iniciar o módulo de cadastros,0,0,0,0,1,0,0
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!",0,0,0,0,0,0,1
Se eu comprar antecipado eu ganho desconto?,1,0,0,0,0,0,0
O sistema está dando erro ao abrir o módulo financeiro.,0,0,0,0,1,0,0
O José pediu demissão. Posso pedir o exame demissional?,0,0,0,0,0,1,0
"Sexta-feira temos workshop sobre marketing empresarial, não se esqueçam!",0,0,1,0,0,0,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",0,0,0,0,0,0,1
"Celulares em promação, iPhone X com 20$ de desconto",0,0,0,0,0,0,1
Estou encaminhando meu curriculo.,0,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,0,0,0,0,0,1,0
Se eu comprar antecipado eu ganho desconto?,1,0,0,0,0,0,0
"Bom dia, me envie os relatórios de ontem.",1,0,0,0,0,0,0
Qual endereço para acessar o portal da empresa?,0,0,0,0,1,0,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",0,0,0,0,0,0,1
