email,financeiro,vendas,marketing,analise,suporte,gerencia,spam
Compre 10 camisetas e pague somente 8,0,0,0,0,0,0,1
"Bom dia, me envie os relatórios de ontem.",1,0,0,0,0,0,0
Qual endereço para acessar o portal da empresa?,0,0,0,0,1,0,0
"Promoção, na compra de um refrigerador você ganha um fogão de brinde",0,0,0,0,0,0,1
"Olá, estou te encaminhando meu currículo",0,0,0,0,0,1,0
Curriculo para vaga de gerente comercial,0,0,0,0,0,1,0
Qual será o valor dos produtos lançados na semana passada?,1,0,0,0,0,0,0
Computador 03 está com problema ao iniciar o módulo de cadastros,0,0,0,0,1,0,0
"Somente nesta sexta-feira, materiais para construção com descontos imperdíveis!",0,0,0,0,0,0,1
Se eu comprar antecipado eu ganho desconto?,1,0,0,0,0,0,0
O sistema está dando erro ao abrir o módulo financeiro.,0,0,0,0,1,0,0
O José pediu demissão. Posso pedir o exame demissional?,0,0,0,0,0,1,0
"Sexta-feira temos workshop sobre marketing empresarial, não se esqueçam!",0,0,1,0,0,0,0
"Compre notebook com R$ 200,00 de desconto somente até sábado",0,0,0,0,0,0,1
"Celulares em promação, iPhone X com 20$ de desconto",0,0,0,0,0,0,1
Estou encaminhando meu curriculo.,0,0,0,0,0,1,0
Houve alguns problema no projeto e iremos atrasar a entrega,0,0,0,0,0,1,0
Onde clico para aparecer o painel de permissões?,0,0,0,0,1,0,0
Não perca a oportunidade de adquirir seu carro ZERO,0,0,0,0,0,0,1
Quanto mais vc compra mais vc ganha. Sistema de pontuação que ganha pontos em dobro.,0,0,0,0,0,0,1
Preciso conversar urgente com o responsável pelo marketing.,0,0,1,0,0,0,0
"Computadores atigindo temperatura elevada e desligando, solicito manutenção.",0,0,0,0,1,0,0
Segue anexo curriculo.,0,0,0,0,0,1,0
"Somente nessa sexta-feira, sofá 3 lugares por R$ 200,00",0,0,0,0,0,0,1
Qual melhor Placa de video para jogar LOL?,0,0,0,1,0,0,0
Precisamos de aumentar as publicidades nas periferias da cidade?,0,0,1,0,0,0,0
Estou enfrentando problemas com erros nas parcelas do cartão de crédito. Valores duplicados!,1,0,0,0,0,0,0
Qual valor das novas caixas de som JBL?,0,1,0,0,0,0,0
Preciso de orçamento para 10 notebooks.,0,1,0,0,0,0,0
Irei comprar alguns milhares de cabo de rede. Consegue-me um desconto?,0,1,0,0,0,0,0
"Minha memória RAM já esta com defeito, a garantia cobre?",0,0,0,0,1,0,0
Estou encaminhando meu curriculo.,0,0,0,0,0,1,0
A empresa oferece vaga para jovem aprendiz?,0,0,0,0,0,1,0
Preciso de sugestoes e analise de especialista para implantar novo software.,0,0,0,1,0,0,0
Qual melhor computador para uso acadêmico?,0,0,0,1,0,0,0
Preciso que me libere acesso ao sistema financeiro,0,0,0,0,1,0,0
"Sobre a demissão do funcionário do caixa, preciso dos detalhes",0,0,0,0,0,1,0
Minha CPU não liga. Pode me ajudar com esse problema?,0,0,0,0,1,0,0
Qual melhor dia para efetuar uma compra no cartão da loja?,1,0,0,0,0,0,0
